INFO:db_updater:Обновление начинается 
INFO:db_updater:Установка соединения с удаленным сервером
INFO:paramiko.transport:Connected (version 2.0, client OpenSSH_6.0p1)
INFO:paramiko.transport:Authentication (publickey) successful!
INFO:db_updater:=> b'documents/prim_tnved_2018/4_2205.html' 2771/2771
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9601.html' 0/17665
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9601.html' 17665/17665
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8421.html' 0/27640
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8421.html' 27640/27640
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2933.html' 0/32112
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2933.html' 32112/32112
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5607.html' 0/8898
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5607.html' 8898/8898
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3603.html' 0/9645
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3603.html' 9645/9645
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0702.html' 0/234
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0702.html' 234/234
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1704.html' 0/16771
INFO:db_updater:=> b'documents/prim_tnved_2018/4_1704.html' 16771/16771
INFO:db_updater:=> b'documents/prim_tnved_2018/17_86.html' 0/11040
INFO:db_updater:=> b'documents/prim_tnved_2018/17_86.html' 11040/11040
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8458.html' 0/8111
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8458.html' 8111/8111
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8548.html' 0/8100
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8548.html' 8100/8100
INFO:db_updater:=> b'documents/prim_tnved_2018/15_8001.html' 0/971
INFO:db_updater:=> b'documents/prim_tnved_2018/15_8001.html' 971/971
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3215.html' 0/5310
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3215.html' 5310/5310
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6903.html' 0/21921
INFO:db_updater:=> b'documents/prim_tnved_2018/13_6903.html' 21921/21921
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2906.html' 0/9546
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2906.html' 9546/9546
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0910.html' 0/7694
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0910.html' 7694/7694
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7310.html' 0/6670
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7310.html' 6670/6670
INFO:db_updater:=> b'documents/prim_tnved_2018/7_3902.html' 0/7689
